title,authors,editors,translator,date,rating,re-read,pages,non-fiction,comic,published
Jailbird,Kurt Vonnegut,+,,2016-04-09,,TRUE,214,,,1979
Deadeye Dick,Kurt Vonnegut,,,2016-04-15,,TRUE,182,,,1982
Galapagos,Kurt Vonnegut,,,2016-04-23,+,TRUE,222,,,1985
To The Lighthouse,Virginia Woolf,,,2016-05-12,+,,238,,,1927
Captain Marvel: In Pursuit of Flight,"Kelly Sue DeConnick,Emma Rios,Dexter Soy",,,2016-05-10,,,136,,TRUE,2012
Captain Marvel: Down,Kelly Sue DeConnick,,,2016-05-11,,,136,,TRUE,2012
Thor: Goddess of Thunder,"Aaron Jason,Dauterman Russell",,,2016-05-13,,,136,,TRUE,2016
Our Tragic Universe,Scarlett Thomas,,,2016-05-22,-,,448,,,2011
Bluebeard,Kurt Vonnegut,,,2016-05-30,+,TRUE,216,,,1987
Hocus Pocus,Kurt Vonnegut,,,2016-06-11,,TRUE,259,,,1990
Timequake,Kurt Vonnegut,,,2016-06-19,,TRUE,171,,,1997
Lumberjanes 1,"Noelle Stevenson,Grace Ellis,Shannon Watters,Brooke Allen",,,2016-06-01,+,,128,,TRUE,2015
Lumberjanes 2,"Noelle Stevenson, Grace Ellis, Shannon Watters, Brooke Allen",,,2016-06-01,+,,128,,TRUE,2015
The Eltingville Club,Evan Dorkin,,,2016-07-09,+,TRUE,128,,TRUE,2016
Jane Eyre,Charlotte Brontë,,,2016-07-17,++,,421,,,1847
Three Moments of an Explosion,China Miéville,,,2016-07-20,++,,431,,,2015
Number 11,Jonathan Coe,,,2016-07-21,,,351,,,2015
The Penelopiad,Margaret Atwood,,,2016-08-01,,,224,,,2005
Dictator,Robert Harris,,,2016-08-17,,,544,,,2015
Hark! A Vagrant,Kate Beaton,,,2016-08-18,,,168,,TRUE,2011
The Vorrh,Brian Catling,,,2016-08-28,++,,500,,,2012
Dart,Alice Oswald,,,2016-08-29,+,,48,,,2002
Dancing at the Edge of the World,Ursula K. Le Guin,,,2016-09-13,+,,306,TRUE,,1989
Lumberjanes 3,"Noelle Stevenson, Grace Ellis, Shannon Watters, Brooke Allen",,,2016-09-15,,,112,,TRUE,2016
Wuthering Heights,Emily Brontë,,,2016-10-07,,,278,,,1847
Brave New World,Aldous Huxley,,,2016-10-09,,,232,,,1932
Letters to Alice on First Reading Jane Austen ,Fay Weldon,,,2016-10-12,,,148,TRUE,,1984
Golden Hill,Francis Spufford,,,2016-10-24,+,,340,,,2016
Lumberjanes 4,"Noelle Stevenson,Grace Ellis,Shannon Watters,Brooke Allen",,,2016-11-01,,,128,,TRUE,2016
"Fine, Fine, Fine, Fine, Fine",Diane Williams,,,2016-11-12,,,136,,,2016
Words are my Matter,Ursula K. Le Guin,,,2016-11-22,,,316,TRUE,,2016
New Model Army,Adam Roberts,,,2016-11-30,,,281,,,2010
Men Explain Things To Me,Rebecca Solnit,,,2016-12-01,,,130,,,2014
Re Jane,Patricia Park,,,2016-12-18,,,338,,,2015
The Silence of Animals,John Gray,,,2016-12-20,,,208,TRUE,,2013
Hothouse,Brian Aldiss,,,2016-12-28,,,270,,,1961
We Have Always Lived in the Castle,Shirley Jackson,,,2017-01-02,+,,176,,,1962
But What If We're Wrong?,Chuck Klosterman,,,2017-01-08,,,288,TRUE,,2016
Akira Vol 1.,Katsuhiro Otomo,,,2017-01-09,,,363,,TRUE,1984
Akira Vol 2.,Katsuhiro Otomo,,,2017-01-10,+,,301,,TRUE,1985
Akira Vol 3.,Katsuhiro Otomo,,,2017-01-11,+,,282,,TRUE,1986
This Is The Place To Be,Lara Pawson,,,2017-01-16,++,,124,TRUE,,2016
Akira Vol 4.,Katsuhiro Otomo,,,2017-01-17,,,393,,TRUE,1987
Akira Vol 5.,Katsuhiro Otomo,,,2017-01-18,,,413,,TRUE,1990
Akira Vol 6.,Katsuhiro Otomo,,,2017-01-19,,,434,,TRUE,1993
A Far Cry From Kensington,Muriel Spark,,,2017-01-21,+,,194,,,1988
Homo Deus,Yuval Noah Harari,,,2017-01-30,,,397,TRU,,2016
This Census Taker,China Miéville,,,2017-01-31,,,140,,,2016
The Fifth Head of Cerberus,Gene Wolfe,,,2017-02-12,,,222,,,1972
